City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
111,pyapon,16.2833,95.6833,29.14,72,5,5.2,MM,1684631348
112,kristiansund,63.1115,7.732,10.36,76,75,2.06,NO,1684631348
113,tolanaro,-25.0319,46.9987,19.73,91,33,3.21,MG,1684631348
114,puerto san jose,13.9256,-90.8244,29.4,75,91,2.57,GT,1684631348
115,invercargill,-46.4,168.35,9.22,63,46,1.2,NZ,1684631348
116,iqaluit,63.7506,-68.5145,-4.61,85,92,7.6,CA,1684631348
117,maracaju,-21.6144,-55.1683,17.39,75,42,1.81,BR,1684631232
118,abu dhabi,24.4667,54.3667,32.19,49,0,4.63,AE,1684631160
119,pangody,65.85,74.4859,1.81,77,56,1.24,RU,1684631348
120,harper,4.375,-7.7169,25.64,85,100,2.27,LR,1684631348
121,puerto baquerizo moreno,-0.9,-89.6,24.99,83,88,6.0,EC,1684631348
122,wewak,-3.5534,143.6268,27.14,76,100,0.8,PG,1684631348
123,caleta de carquin,-11.0925,-77.6267,21.85,79,62,4.79,PE,1684631348
124,ola,59.5833,151.2833,1.75,96,100,2.16,RU,1684631348
125,uturoa,-16.7333,-151.4333,27.59,78,37,2.95,PF,1684631348
126,bardsir,29.9227,56.5743,17.55,46,100,1.64,IR,1684631348
127,santa luzia,-19.7697,-43.8514,16.5,83,0,2.09,BR,1684631349
128,ilulissat,69.2167,-51.1,-0.99,80,100,4.63,GL,1684631349
129,westport,41.1415,-73.3579,19.16,93,100,4.63,US,1684631173
130,jaltenango de la paz,15.9167,-92.7167,24.57,52,100,1.21,MX,1684631349
131,kalabo,-14.97,22.6814,17.1,40,88,2.75,ZM,1684631349
132,quellon,-43.1167,-73.6167,10.14,93,100,5.14,CL,1684631349
133,cidade velha,14.9167,-23.6167,22.68,76,71,4.14,CV,1684631349
134,kavieng,-2.5744,150.7967,25.1,93,100,6.83,PG,1684631349
135,urumqi,43.801,87.6005,16.53,52,0,2.0,CN,1684631349
136,mahanoro,-19.9,48.8,21.91,85,0,1.43,MG,1684631349
137,paita,-5.0892,-81.1144,23.7,77,78,7.33,PE,1684631349
138,pugachev,52.0133,48.8025,11.12,91,0,3.55,RU,1684631349
139,punta arenas,-53.15,-70.9167,4.06,87,0,2.06,CL,1684631349
140,jumla,29.2747,82.1838,12.66,63,7,1.07,NP,1684631349
141,rabaul,-4.1967,152.1721,26.87,77,100,2.87,PG,1684631350
142,tabalosos,-6.35,-76.6833,21.11,98,37,0.88,PE,1684631350
143,burhaniye,39.5004,26.9727,14.95,77,40,5.14,TR,1684631350
144,novo aripuana,-5.1206,-60.3797,24.86,93,40,1.31,BR,1684631288
145,emerald,-23.5333,148.1667,20.19,30,0,5.19,AU,1684631055
146,dudinka,69.4058,86.1778,-2.43,93,95,3.18,RU,1684631350
147,alo,7.4178,6.7371,25.04,94,100,1.65,NG,1684631350
148,longyearbyen,78.2186,15.6401,3.91,75,75,12.35,SJ,1684631350
149,anadyr,64.75,177.4833,7.28,70,0,3.0,RU,1684631350
150,mahina,-17.5065,-149.489,29.87,70,40,4.12,PF,1684631350
151,almodovar del campo,38.7094,-4.1791,13.6,75,100,1.75,ES,1684631350
152,tobelo,1.7284,128.0095,28.95,69,38,1.67,ID,1684631128
153,ancud,-41.8697,-73.8203,10.69,90,100,10.95,CL,1684631306
154,young,-32.6833,-57.6333,13.62,82,100,3.37,UY,1684631099
155,vernon,50.2581,-119.2691,27.2,76,100,1.89,CA,1684631350
156,greenland,43.0362,-70.8328,18.84,93,100,7.2,US,1684631350
157,port mathurin,-19.6833,63.4167,24.85,75,0,2.31,MU,1684631350
158,okhotsk,59.3833,143.3,2.29,88,100,3.2,RU,1684631350
159,shingu,33.7333,135.9833,24.32,73,12,2.98,JP,1684631351
160,nieuw amsterdam,5.8833,-55.0833,26.68,89,100,3.2,SR,1684631351
161,midvagur,62.0511,-7.1939,8.46,81,75,4.63,FO,1684631351
162,tomaszow mazowiecki,51.5313,20.0086,15.31,10,35,3.5,PL,1684631305
163,al jawf,29.5,38.75,18.31,44,26,4.01,SA,1684631351
164,avarua,-21.2078,-159.775,25.03,69,20,1.03,CK,1684631351
165,lincheng,19.9078,109.6858,29.84,70,4,3.25,CN,1684631351
166,bubaque,11.2833,-15.8333,26.67,71,100,5.54,GW,1684631351
167,teguise,29.0605,-13.564,17.12,63,0,2.06,ES,1684631091
168,roxas,11.5853,122.7511,28.41,77,100,1.92,PH,1684631351
169,carolina beach,34.0352,-77.8936,22.79,87,86,2.83,US,1684631351
170,villa gesell,-37.2639,-56.973,10.22,64,0,5.38,AR,1684631351
171,tabas,33.5959,56.9244,27.48,21,100,1.91,IR,1684631351
172,kapa'a,22.0752,-159.319,27.99,79,40,4.12,US,1684631351
173,slave lake,55.2834,-114.769,22.95,46,100,1.11,CA,1684631351
174,port moresby,-9.4431,147.1797,26.61,73,97,1.15,PG,1684631352
175,kostanay,53.1667,63.5833,11.16,50,0,4.0,KZ,1684631352
176,isafjordur,66.0755,-23.124,3.89,75,69,14.27,IS,1684631352
177,ocean shores,46.9737,-124.1563,18.03,85,75,6.69,US,1684631352
178,puyo,-1.4667,-77.9833,19.34,98,100,1.01,EC,1684631271
179,mount isa,-20.7333,139.5,18.87,26,21,7.72,AU,1684631352
180,chadron,42.8294,-102.9999,23.87,42,0,4.63,US,1684631352
181,yulinshi,38.2906,109.7494,11.36,23,100,7.97,CN,1684631352
182,tual,-5.6667,132.75,27.41,77,55,7.51,ID,1684631352
183,madras,13.0878,80.2785,29.99,90,40,2.57,IN,1684631123
184,chingola,-12.529,27.8838,14.33,73,48,1.51,ZM,1684631352
185,georgetown,5.4112,100.3354,25.97,79,20,1.54,MY,1684631154
186,kapuskasing,49.4169,-82.4331,14.9,60,22,2.24,CA,1684631352
187,bengkulu,-3.8004,102.2655,26.2,78,100,1.58,ID,1684631352
188,kupang,-10.1667,123.5833,28.32,65,20,6.17,ID,1684631352
189,eirunepe,-6.6603,-69.8736,24.44,93,75,0.26,BR,1684631353
190,torghay,49.6339,63.4981,13.48,44,49,4.15,KZ,1684631353
191,gadzhiyevo,69.2551,33.3362,10.18,76,28,3.87,RU,1684631353
192,san fernando,15.0286,120.6898,30.06,68,51,1.06,PH,1684631353
193,aykhal,66.0,111.5,-2.06,87,100,7.34,RU,1684631353
194,kikwit,-5.041,18.8162,21.6,92,100,1.04,CD,1684631353
195,fort bragg,35.139,-79.006,22.75,76,0,3.09,US,1684631353
196,ambon,-3.6954,128.1814,29.08,65,20,2.57,ID,1684631353
197,hamilton,39.1834,-84.5333,16.69,67,0,5.66,US,1684631222
198,thunder bay,48.4001,-89.3168,15.22,66,6,3.35,CA,1684631353
199,illizi,26.4833,8.4667,19.65,25,0,1.01,DZ,1684631353
200,tangalle,6.024,80.7911,26.09,84,12,3.1,LK,1684631353
201,puerto aysen,-45.4,-72.7,6.11,99,100,1.72,CL,1684631353
202,horta,38.5333,-28.6333,16.68,78,19,4.92,PT,1684631245
203,qashyr,53.0675,76.1036,14.04,45,3,2.84,KZ,1684631354
204,hawaiian paradise park,19.5933,-154.9731,25.73,89,75,6.69,US,1684631354
205,itaituba,-4.2761,-55.9836,23.9,99,93,1.13,BR,1684631174
206,ust-nera,64.5667,143.2,3.03,81,100,1.75,RU,1684631354
207,semey,50.4111,80.2275,8.12,46,0,3.0,KZ,1684631354
208,howard springs,-12.497,131.047,23.79,37,5,6.03,AU,1684631354
209,filadelfia,39.9523,-75.1638,20.39,91,75,2.57,US,1684631117
210,forster,-32.1667,152.5167,17.99,44,100,7.66,AU,1684631354
211,port alfred,-33.5906,26.891,15.5,37,99,4.06,ZA,1684631354
212,petauke,-14.2426,31.3253,18.05,61,12,2.25,ZM,1684631354
213,dunedin,-45.8742,170.5036,9.33,58,6,3.13,NZ,1684631354
214,dryden,49.7833,-92.7503,18.94,43,28,5.15,CA,1684631354
215,machico,32.7,-16.7667,18.35,76,40,4.63,PT,1684631355
216,karratha,-20.7377,116.8463,20.53,31,10,11.64,AU,1684631355
217,talnakh,69.4865,88.3972,-2.66,91,93,2.68,RU,1684631355
218,geraldton,-28.7667,114.6,18.23,42,53,9.26,AU,1684631355
219,papao,-17.75,-149.55,29.82,74,100,2.17,PF,1684631355
220,giyani,-23.3025,30.7187,14.76,90,0,1.6,ZA,1684631355
221,sosnovskoye,55.8052,43.167,10.96,99,100,1.8,RU,1684631355
222,white river,-25.3318,31.0117,10.71,74,0,1.58,ZA,1684631355
223,wynyard,-41.0,145.7167,11.1,58,4,4.85,AU,1684631355
224,grande prairie,55.1667,-118.8027,17.09,73,100,1.93,CA,1684631355
